"Net","Name","X Coord","Y Coord","Side","Hole Size","Type"
"+5V_ENABLE_5","TP24-1","13310mil","9605mil","Top","0mil","Surface mount"
"RESET","TP16-1","7985mil","5755mil","Top","0mil","Surface mount"
"FPGA_CFG2_9","TP19-1","7685mil","5730mil","Top","0mil","Surface mount"
"FPGA_CFG1_9","TP18-1","7540mil","5730mil","Top","0mil","Surface mount"
"FPGA_CFG0_9","TP17-1","7395mil","5730mil","Top","0mil","Surface mount"
"FLASH_MISO","TP20-1","7245mil","5685mil","Top","0mil","Surface mount"
"FLASH_MOSI","TP21-1","6605mil","5685mil","Top","0mil","Surface mount"
"FLASH_SCLK","TP22-1","8325mil","5415mil","Top","0mil","Surface mount"
"FLASH_CS","TP23-1","8045mil","5435mil","Top","0mil","Surface mount"
"INITN_9","TP15-1","9145mil","6660mil","Top","0mil","Surface mount"
"PROGRAMN_9","TP14-1","8715mil","6580mil","Top","0mil","Surface mount"
"DONE_9","TP13-1","8285mil","6595mil","Top","0mil","Surface mount"
"TMS_9","TP12-1","7695mil","6620mil","Top","0mil","Surface mount"
"TDO_9","TP11-1","7245mil","6670mil","Top","0mil","Surface mount"
"TDI_9","TP10-1","6865mil","6450mil","Top","0mil","Surface mount"
"TCK_9","TP9-1","6135mil","6660mil","Top","0mil","Surface mount"
"+5V","TP25-1","13195mil","8970mil","Top","40mil","Through hole"
"GND","TP5-1","13195mil","8815mil","Top","40mil","Through hole"
"GND","TP4-1","12380mil","6800mil","Top","40mil","Through hole"
"GND","TP3-1","13710mil","7580mil","Top","40mil","Through hole"
"GND","TP2-1","10105mil","8810mil","Top","40mil","Through hole"
"+24V","TP7-1","12400mil","9245mil","Top","40mil","Through hole"
"GND","TP1-1","12400mil","9815mil","Top","40mil","Through hole"
"+24V_IN","TP6-1","10205mil","9065mil","Top","40mil","Through hole"
"PGND","TP8-1","10205mil","9415mil","Top","40mil","Through hole"
"+5V","TP25-1","13195mil","8970mil","Bottom","40mil","Through hole"
"GND","TP5-1","13195mil","8815mil","Bottom","40mil","Through hole"
"GND","TP4-1","12380mil","6800mil","Bottom","40mil","Through hole"
"GND","TP3-1","13710mil","7580mil","Bottom","40mil","Through hole"
"GND","TP2-1","10105mil","8810mil","Bottom","40mil","Through hole"
"+24V","TP7-1","12400mil","9245mil","Bottom","40mil","Through hole"
"GND","TP1-1","12400mil","9815mil","Bottom","40mil","Through hole"
"+24V_IN","TP6-1","10205mil","9065mil","Bottom","40mil","Through hole"
"PGND","TP8-1","10205mil","9415mil","Bottom","40mil","Through hole"
